City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
3893726,Constitución,21,CL,1612061860,92,-35.3333,-72.4167,59,8.19
2063036,Port Lincoln,73,AU,1612061875,60,-34.7333,135.8667,68.67,13.09
3418910,Upernavik,80,GL,1612061858,85,72.7868,-56.1549,-9.8,5.32
2120591,Tilichiki,96,RU,1612062428,90,60.4667,166.1,-10.25,16.02
1106677,Bambous Virieux,20,MU,1612061873,83,-20.3428,57.7575,78.8,6.91
361055,Ismailia,0,EG,1612062428,39,30.6043,32.2723,55.9,11.77
3614663,Brus Laguna,98,HN,1612062429,96,15.75,-84.4833,71.4,1.68
2110227,Butaritari,56,KI,1612061865,79,3.0707,172.7902,81.19,18.23
3517970,Pochutla,3,MX,1612062429,83,15.7432,-96.4661,77,1.01
2208248,Kaitangata,100,NZ,1612061912,74,-46.2817,169.8464,61,8.01
1855476,Nichinan,20,JP,1612062429,47,31.6,131.3667,53.6,4.61
286621,Salalah,40,OM,1612061899,72,17.0151,54.0924,66.2,3.44
5122534,Jamestown,90,US,1612062410,79,42.097,-79.2353,19,8.05
6170031,Tuktoyaktuk,40,CA,1612061854,67,69.4541,-133.0374,-34.6,4.61
2514651,Los Llanos de Aridane,40,ES,1612061882,82,28.6585,-17.9182,64.4,11.5
1185115,Sirajganj,0,BD,1612062429,49,24.45,89.7167,58.42,6.64
3480908,La Asuncion,22,VE,1612062429,86,11.0333,-63.8628,76.64,11.61
4034551,Faanui,68,PF,1612061880,68,-16.4833,-151.75,82.09,7.29
2206874,Waipawa,0,NZ,1612062404,72,-41.4122,175.5153,69.01,9.22
3397763,Jacareacanga,100,BR,1612062408,93,-6.2222,-57.7528,72.68,1.48
1735799,Sri Aman,20,MY,1612061626,89,1.2376,111.4621,80.6,1.14
611847,Sukhumi,100,GE,1612062430,54,43.0033,41.0153,47.62,3.65
4328254,Iberia,90,US,1612062430,94,29.9502,-91.7507,66.2,11.5
4021858,Guerrero Negro,64,MX,1612061593,71,27.9769,-114.0611,59.54,12.28
3925212,Cacoal,100,BR,1612062430,94,-11.4386,-61.4472,73.36,3.58
3366880,Hermanus,1,ZA,1612062407,91,-34.4187,19.2345,61,8.84
3421765,Nanortalik,100,GL,1612061878,90,60.1432,-45.2371,29.14,6.55
3655131,La Libertad,0,EC,1612062430,88,-2.2333,-80.9,77,4.61
5546220,Saint George,1,US,1612062401,70,37.1041,-113.5841,44.01,3.44
2206939,Bluff,98,NZ,1612062124,72,-46.6,168.3333,58.32,11.59
359783,Assiut,0,EG,1612061858,65,27.181,31.1837,44.6,4.61
545467,Konëvo,86,RU,1612062431,96,62.1215,39.3192,13.6,5.08
2643044,Margate,5,GB,1612061882,61,51.3813,1.3862,39.99,4
2126123,Chokurdakh,18,RU,1612061871,85,70.6333,147.9167,-30.1,8.5
2512186,Puerto del Rosario,90,ES,1612062431,88,28.5004,-13.8627,64.4,20.71
3870243,Taltal,4,CL,1612061668,75,-25.4,-70.4833,65.37,6.64
2159220,Mackay,90,AU,1612062431,74,-21.15,149.2,86,16.11
1015776,Bredasdorp,0,ZA,1612061870,90,-34.5322,20.0403,61,6.55
100926,Umluj,0,SA,1612062432,54,25.0213,37.2685,63.86,10.69
3833367,Ushuaia,20,AR,1612061856,71,-54.8,-68.3,48.2,23.02
921772,Moroni,88,KM,1612062432,75,-11.7022,43.2551,80.31,8.12
1507390,Dikson,0,RU,1612061870,80,73.5069,80.5464,-33.68,5.7
3381041,Mana,100,GF,1612062432,86,5.6592,-53.7767,77.5,13.78
3985710,Cabo San Lucas,20,MX,1612061675,82,22.8909,-109.9124,66.2,3.44
2018735,Nyurba,99,RU,1612061886,80,63.2842,118.3319,-39.05,3.36
933995,Souillac,20,MU,1612061864,83,-20.5167,57.5167,78.8,6.91
6185377,Yellowknife,1,CA,1612062404,76,62.456,-114.3525,-16.01,4.61
964432,Port Alfred,0,ZA,1612061653,92,-33.5906,26.891,62.01,2.46
1521315,Līsakovsk,11,KZ,1612062432,94,52.5369,62.4936,6.73,4.18
3722286,Léogâne,49,HT,1612062433,65,18.5108,-72.6339,77,4.61
2119538,Yelizovo,90,RU,1612062433,47,53.1873,158.3805,30.2,20.13
1278985,Alappuzha,8,IN,1612062433,80,9.49,76.3264,78.13,4.81
5848280,Kapaa,40,US,1612061768,78,22.0752,-159.319,75.2,18.41
2269142,Colares,86,PT,1612062433,84,38.7992,-9.4469,59,12.97
1528252,Ivanovka,0,KG,1612062433,47,42.8878,75.085,33.8,6.71
6165406,Thompson,90,CA,1612061860,92,55.7435,-97.8558,14,2.3
359792,Aswān,0,EG,1612061656,46,24.0934,32.907,51.53,7.7
608872,Makat,95,KZ,1612061910,96,47.6469,53.3463,24.1,10.8
5383465,Pittsburg,75,US,1612062434,71,38.028,-121.8847,55,3.44
1562414,Vung Tau,100,VN,1612062434,63,10.346,107.0843,78.71,4.63
2122090,Pevek,4,RU,1612061864,84,69.7008,170.3133,-33.2,3.04
2171099,Codrington,0,AU,1612061861,58,-38.2667,141.9667,66.47,11.54
3420846,Qaqortoq,75,GL,1612062434,30,60.7167,-46.0333,39.2,26.46
2090021,Namatanai,100,PG,1612061876,66,-3.6667,152.4333,84.49,13.27
6167817,Torbay,90,CA,1612061876,100,47.6666,-52.7314,28.99,9.22
4031574,Provideniya,100,RU,1612061865,83,64.3833,-173.3,-8.91,14.56
293842,Kiryat Gat,0,IL,1612062300,57,31.61,34.7642,55,1.01
3443061,Chui,100,UY,1612061867,93,-33.6971,-53.4616,68.34,15.59
219414,Basoko,88,CD,1612062435,82,1.2391,23.616,71.35,1.34
884927,Mutoko,100,ZW,1612062435,100,-17.397,32.2268,62.78,5.19
4726521,San Patricio,1,US,1612061881,88,28.017,-97.5169,69.8,17.27
3601402,Savannah Bight,5,HN,1612062435,89,16.45,-85.85,77,18.84
1106643,Quatre Cocos,20,MU,1612062435,83,-20.2078,57.7625,80.01,6.91
935214,Saint-Pierre,0,RE,1612061871,65,-21.3393,55.4781,79,5.75
2038665,Alihe,100,CN,1612062314,82,50.5667,123.7167,-10.82,0.11
1282256,Hithadhoo,10,MV,1612061857,79,-0.6,73.0833,81.79,13.98
3372707,Ribeira Grande,99,PT,1612061869,93,38.5167,-28.7,62.92,19.6
3146487,Raudeberg,100,NO,1612061901,100,61.9875,5.1352,32,6.91
2647311,Haverfordwest,88,GB,1612062436,80,51.8017,-4.9691,35.6,9.22
53654,Mogadishu,20,SO,1612061875,84,2.0371,45.3438,74.34,15.41
1213855,Sibolga,74,ID,1612062436,56,1.7427,98.7792,84.67,3.47
347612,Talā,0,EG,1612062436,49,30.6803,30.9429,51.87,9.35
1185270,Bāndarban,0,BD,1612062310,38,22.1965,92.2262,72.57,2.62
525426,Sobolevo,100,RU,1612061863,97,54.4299,31.8996,17.64,5.37
5779548,Payson,40,US,1612062436,74,40.0444,-111.7321,32,4.12
1513491,Yangi Marg`ilon,100,UZ,1612061908,55,40.4272,71.7189,32,9.22
3414079,Olafsvik,27,IS,1612061906,89,64.8945,-23.7142,22.5,15.77
2644210,Liverpool,100,GB,1612062378,93,53.4106,-2.9779,32,8.05
2088659,Panguna,99,PG,1612061914,67,-6.3164,155.4848,80.85,6.71
3374210,São Filipe,100,CV,1612061906,60,14.8961,-24.4956,74.39,11.07
